season,feature_set,model_label,fold_id,input_start_date,input_end_date,target_horizon_index,target_date,n_heldout_plots,observed_total_yield_g,predicted_total_yield_g,last_observed_total_yield_baseline_g,mean_observed_history_total_yield_baseline_g,aggregate_error_g,aggregate_abs_error_g,validation_scope
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,3069.0,3069.0,1540.6,226.0,226.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,1405.6,2747.0,1405.6,-2128.4,2128.4,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,1405.6,2747.0,1405.6,-1062.4,1062.4,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,1405.6,2747.0,1405.6,-961.4000000000001,961.4000000000001,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,1770.8,3248.0,1770.8,-1513.2,1513.2,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,1770.8,3248.0,1770.8,-912.2,912.2,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,1770.8,3248.0,1770.8,-2142.2,2142.2,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,3,2024-01-08,2024-02-06,1,2024-02-13,8,3088.0,1639.0,3173.0,1639.0,-1449.0,1449.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,3,2024-01-08,2024-02-06,2,2024-02-20,8,1914.0,1639.0,3173.0,1639.0,-275.0,275.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,3,2024-01-08,2024-02-06,3,2024-02-27,8,2452.0,1639.0,3173.0,1639.0,-813.0,813.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,1863.2,3554.0,1863.2,-2309.8,2309.8,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,1863.2,3554.0,1863.2,-544.8,544.8,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,1863.2,3554.0,1863.2,-1646.8,1646.8,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,1540.6,3069.0,1540.6,-1368.4,1368.4,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,1540.6,3069.0,1540.6,-498.4000000000001,498.4000000000001,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,1540.6,3069.0,1540.6,-1302.4,1302.4,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,3778.705414918415,2747.0,1405.6,244.70541491841504,244.70541491841504,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2476.8625374440367,2747.0,1405.6,8.862537444036661,8.862537444036661,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,3525.699238076738,2747.0,1405.6,1158.6992380767379,1158.6992380767379,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,3682.8338954933947,3248.0,1770.8,398.8338954933947,398.8338954933947,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,2370.686891145891,3248.0,1770.8,-312.31310885410903,312.31310885410903,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,2938.5226676471675,3248.0,1770.8,-974.4773323528325,974.4773323528325,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,3,2024-01-08,2024-02-06,1,2024-02-13,8,3088.0,3291.101606689607,3173.0,1639.0,203.1016066896068,203.1016066896068,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,3,2024-01-08,2024-02-06,2,2024-02-20,8,1914.0,2220.7647558922563,3173.0,1639.0,306.7647558922563,306.7647558922563,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,3,2024-01-08,2024-02-06,3,2024-02-27,8,2452.0,3142.8710781625787,3173.0,1639.0,690.8710781625787,690.8710781625787,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,3562.018561457061,3554.0,1863.2,-610.981438542939,610.981438542939,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,2616.96542953343,3554.0,1863.2,208.96542953342987,208.96542953342987,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,3036.420855699856,3554.0,1863.2,-473.579144300144,473.579144300144,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,2845.68608994709,3069.0,1540.6,-63.31391005291016,63.31391005291016,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,2045.6874116809122,3069.0,1540.6,6.6874116809121915,6.6874116809121915,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Random Forest,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,2768.2057588892585,3069.0,1540.6,-74.7942411107415,74.7942411107415,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Ridge,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,4129.066938760837,2747.0,1405.6,595.0669387608368,595.0669387608368,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Ridge,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2233.2985628187157,2747.0,1405.6,-234.7014371812843,234.7014371812843,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Ridge,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,3553.290447245283,2747.0,1405.6,1186.2904472452828,1186.2904472452828,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Ridge,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,3904.360144334135,3248.0,1770.8,620.3601443341349,620.3601443341349,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Ridge,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,2188.4120829052295,3248.0,1770.8,-494.58791709477055,494.58791709477055,held_out_cv_fold_aggregate_primary
